batter,total_runs,balls_faced,dismissals,batting_strike_rate
CM Edwards,322,318,9,101.25786163522012
CMA Shillington,201,221,11,90.9502262443439
CN Nation,36,43,2,83.72093023255815
CNIM Joyce,132,172,10,76.74418604651163
D Brown,6,2,0,300.0
D Devnarain,36,41,4,87.8048780487805
D Hazell,23,30,2,76.66666666666667
D Hemalatha,21,18,3,116.66666666666667
D Tucker,12,25,2,48.0
D van Niekerk,281,373,13,75.33512064343164
DB Sharma,278,270,10,102.96296296296296
DEM Carter,227,222,8,102.25225225225225
DJS Dottin,627,577,25,108.66551126516464
DM Kimmince,5,8,1,62.5
DN Wyatt,746,596,24,125.16778523489933
DP Vaidya,0,1,0,0.0
DR Gibson,56,47,4,119.14893617021276
Diana Baig,3,15,2,20.0
Dilara Akter,60,77,7,77.92207792207793
E Bisht,1,2,1,50.0
EA Osborne,14,18,5,77.77777777777779
EA Perry,650,558,22,116.48745519713262
EAJ Richardson,66,78,9,84.61538461538461
EJ Carson,9,24,3,37.5
EJ Tice,41,56,3,73.21428571428571
EJ Villani,342,290,13,117.9310344827586
ELC Flanagan,5,7,1,71.42857142857143
EM Bermingham,8,5,1,160.0
EMKNH Senavirathna,36,28,3,128.57142857142858
Eyman Fatima,0,6,1,0.0
F Overdijk,24,23,3,104.34782608695652
F Tunnicliffe,9,18,2,50.0
FC Jonas,5,13,1,38.46153846153847
FC Wilson,39,44,3,88.63636363636364
FG Kemp,90,58,1,155.17241379310346
FL Mackay,77,76,3,101.3157894736842
Fahima Khatun,98,121,10,80.99173553719008
Fargana Hoque,172,246,16,69.91869918699187
Fatima Sana,174,174,11,100.0
G Fontenla,3,2,1,150.0
G Sultana,3,3,0,100.0
G Voll,130,95,6,136.8421052631579
G Wareham,94,67,7,140.2985074626866
GA Elwiss,0,1,1,0.0
GE Plimmer,187,179,10,104.46927374301676
GH Lewis,331,373,14,88.73994638069705
GM Harris,78,69,6,113.04347826086956
GWHM Perera,129,178,12,72.47191011235955
Gull Feroza,102,93,5,109.6774193548387
H Karunaratne,19,34,3,55.88235294117647
H Kaur,805,690,28,116.66666666666667
H Madavi,272,313,13,86.90095846645367
HAM Samuddika,11,10,2,110.00000000000001
HASD Siriwardene,167,217,12,76.95852534562212
HC Knight,641,590,23,108.64406779661017
HDJ Siegers,70,60,4,116.66666666666667
HK Matthews,653,633,29,103.15955766192732
HL Ferling,0,1,1,0.0
HM Rowe,13,17,2,76.47058823529412
HMD Rasangika,8,23,2,34.78260869565217
HNK Jensen,24,33,4,72.72727272727273
HWA Landheer,0,1,1,0.0
I Dulani,48,64,4,75.0
I Ranaweera,12,31,2,38.70967741935484
I van der Woning,0,2,1,0.0
IC Gaze,116,104,6,111.53846153846155
IG Sharp,103,81,5,127.16049382716051
IJR Zwilling,24,24,2,100.0
IMHC Joyce,221,278,12,79.49640287769785
Iram Javed,82,111,7,73.87387387387388
J Glasgow,42,53,3,79.24528301886792
J Goswami,62,67,6,92.53731343283582
J Gray,14,22,3,63.63636363636363
J Maguire,1,4,1,25.0
JE Cameron,5,10,2,50.0
JI Rodrigues,499,452,24,110.39823008849558
JKC Claxton,53,75,5,70.66666666666667
JL Gunn,22,28,3,78.57142857142857
JL Jonassen,69,92,9,75.0
JM Dibble,0,1,1,0.0
JM Kerr,34,36,2,94.44444444444444
JM Watkin,0,2,2,0.0
Jahanara Alam,57,81,11,70.37037037037037
Javeria Khan,315,324,12,97.22222222222221
Juairiya Ferdous,98,86,5,113.95348837209302
K Fraser,105,113,7,92.92035398230088
K Kavindi,17,29,2,58.620689655172406
K McKenna,0,3,1,0.0
K Reyneke,2,6,2,33.33333333333333
KADA Kanchana,42,55,7,76.36363636363637
KDU Prabodhani,57,87,8,65.51724137931035
KE Bryce,170,163,9,104.29447852760735
KH Brunt,57,52,7,109.61538461538463
KH Sciver-Brunt,5,6,2,83.33333333333334
KJ Garth,92,141,6,65.24822695035462
KJ Martin,208,171,9,121.63742690058479
KL Gordon,24,21,1,114.28571428571428
KM Beams,4,2,0,200.0
KT Perkins,78,85,4,91.76470588235294
KV Jain,8,14,2,57.14285714285714
Khadija Tul Kubra,7,12,2,58.333333333333336
Kycia A Knight,157,179,8,87.70949720670392
Kyshona A Knight,14,36,4,38.88888888888889
L Delany,135,188,11,71.80851063829788
L Jack,29,45,4,64.44444444444444
L Kumari,2,10,1,20.0
L Lee,284,274,13,103.64963503649636
L Little,47,36,3,130.55555555555557
L Maritz,1,4,1,25.0
L Paul,47,71,7,66.19718309859155
L Winfield,11,17,3,64.70588235294117
L Wolvaardt,697,642,21,108.56697819314643
LAGL Kirby,39,43,3,90.69767441860465
LE Kaushalya,206,206,12,100.0
LK O'Reilly,8,15,3,53.333333333333336
LM Kasperek,43,32,5,134.375
LMM Tahuhu,24,32,5,75.0
LN McCarthy,14,18,2,77.77777777777779
LS Greenway,55,78,5,70.51282051282051
Lata Mondal,55,85,9,64.70588235294117
M Ayodhya,4,8,0,50.0
M Daniels,3,9,2,33.33333333333333
M Kapp,524,472,23,111.01694915254237
M Klaas,4,8,3,50.0
M Madara,5,15,1,33.33333333333333
M McColl,24,27,3,88.88888888888889
M Raj,393,440,10,89.31818181818181
M Shehani,10,15,2,66.66666666666666
M Strano,2,3,0,66.66666666666666
M du Preez,211,243,10,86.83127572016461
MAA Sanjeewani,136,184,12,73.91304347826086
MADD Surangika,129,142,4,90.84507042253522
MDN Hansika,1,3,2,33.33333333333333
ME Bouchier,107,94,4,113.82978723404256
MEMO Scott-Hayward,45,41,4,109.75609756097562
MIW van den Raad,1,2,1,50.0
ML Green,278,224,12,124.10714285714286
ML Schutt,7,9,3,77.77777777777779
MM Lanning,722,686,17,105.24781341107871
MR Aguilleira,58,58,6,100.0
MV Waldron,69,85,11,81.17647058823529
Marina Iqbal,4,6,1,66.66666666666666
Marufa Akter,3,2,0,150.0
Muneeba Ali,357,382,20,93.45549738219894
Murshida Khatun,101,134,9,75.3731343283582
N Boochatham,54,80,5,67.5
N Chaiwai,32,51,2,62.745098039215684
N Chantam,103,127,3,81.10236220472441
N Koncharoenkai,65,85,3,76.47058823529412
N Mlaba,9,10,1,90.0
N de Klerk,166,160,8,103.75000000000001
NJ Browne,46,34,2,135.29411764705884
NJ Carey,64,51,2,125.49019607843137
NM Meepage,1,2,0,50.0
NND de Silva,358,358,14,100.0
NR Sciver,395,380,14,103.94736842105263
NR Sciver-Brunt,550,412,7,133.49514563106797
NY McLean,64,59,4,108.47457627118644
Nahida Akter,39,49,4,79.59183673469387
Nahida Khan,97,123,9,78.86178861788618
Nain Abidi,25,49,4,51.02040816326531
Nashra Sandhu,27,46,6,58.69565217391305
Natalia Pervaiz,11,18,3,61.111111111111114
Nida Dar,296,336,20,88.09523809523809
Nigar Sultana,583,686,20,84.98542274052478
Nuzhat Tasnia,11,27,2,40.74074074074074
O Bell,3,8,0,37.5
O Kamchomphu,30,32,3,93.75
O Prendergast,290,235,9,123.40425531914893
OU Ranasinghe,27,80,11,33.75
P Litchfield,184,141,5,130.49645390070924
P Molkenboer,75,81,4,92.5925925925926
P Rawat,3,2,0,150.0
P Vastrakar,21,18,2,116.66666666666667
PA Chatterji,39,47,5,82.97872340425532
PG Raut,95,98,3,96.93877551020408
PM Weerakkody,61,72,5,84.72222222222221
PN Sproul,27,23,3,117.3913043478261
PRCS Kumarihami,34,51,6,66.66666666666666
Panna Ghosh,13,27,2,48.148148148148145
Poonam Yadav,9,15,3,60.0
Q Joseph,138,131,7,105.34351145038168
Qanita Jalil,34,34,3,100.0
R Padunglerd,9,7,1,128.57142857142858
R Rijke,30,38,4,78.94736842105263
R Slater,16,12,3,133.33333333333331
R Stokell,40,47,4,85.1063829787234
RA Lewis,1,4,2,25.0
RA Mair,6,7,2,85.71428571428571
RH Priest,242,236,13,102.54237288135593
RL Grundy,2,3,0,66.66666666666666
RL Haynes,169,136,5,124.26470588235294
RM Farrell,2,2,0,100.0
RM Ghosh,267,229,10,116.5938864628821
RMVD Gunaratne,112,178,11,62.92134831460674
RP Yadav,21,20,5,105.0
RS Gayakwad,1,3,0,33.33333333333333
RS Vandort,2,4,1,50.0
RS Williams,49,56,2,87.5
Rabeya Khan,18,20,2,90.0
Rameen Shamim,10,20,2,50.0
Renuka Singh,1,2,1,50.0
Ritu Moni,88,150,12,58.666666666666664
Rumana Ahmed,207,229,17,90.39301310043668
S Asha,6,10,0,60.0
S Ecclestone,38,26,3,146.15384615384613
S Gajnabi,43,38,4,113.1578947368421
S Glenn,9,8,0,112.5
S Horley,38,59,4,64.40677966101694
S Ismail,23,36,7,63.888888888888886
S Jafta,44,36,4,122.22222222222223
S Khurana,37,37,3,100.0
S Laomi,10,11,2,90.9090909090909
S Lateh,3,5,0,60.0
S Loubser,1,3,0,33.33333333333333
S Luus,262,238,14,110.08403361344538
S Mandhana,729,633,28,115.16587677725119
S Molineux,30,22,5,136.36363636363635
S Mostary,302,378,15,79.8941798941799
S Nisansala,3,7,1,42.857142857142854
S Pandey,81,100,7,81.0
S Rana,11,10,1,110.00000000000001
S Rani,64,86,4,74.4186046511628
S Sajana,4,1,0,400.0
S Sandeepani,0,1,1,0.0
S Sharma,3,4,2,75.0
S Siegers,11,11,2,100.0
S Tippoch,3,23,3,13.043478260869565
S Verma,1,2,1,50.0
SA Campbelle,495,520,26,95.1923076923077
SA Fritz,6,3,0,200.0
SACA King,114,101,3,112.87128712871286
SC Selman,6,12,2,50.0
SF Daley,0,1,1,0.0
SFM Devine,659,587,27,112.26575809199319
SIP Fernando,5,7,1,71.42857142857143
SIR Dunkley,233,177,9,131.63841807909606
SJ Bryce,242,227,9,106.6079295154185
SJ Coyte,9,6,1,150.0
SJ McGlashan,169,154,7,109.74025974025975
SJ Taylor,192,214,9,89.7196261682243
SK Naidu,11,27,1,40.74074074074074
SL Kalis,104,114,5,91.22807017543859
SL Quintyne,48,61,3,78.68852459016394
SM Kavanagh,20,22,3,90.9090909090909
SR Patil,8,16,2,50.0
SR Taylor,792,844,27,93.8388625592417
SS Connell,8,14,2,57.14285714285714
SS Weerakkody,36,52,6,69.23076923076923
SW Bates,945,838,25,112.76849642004774
Sadaf Shamas,5,11,3,45.45454545454545
Sadia Iqbal,4,11,4,36.36363636363637
Sadia Yousuf,4,15,1,26.666666666666668
Saira Jabeen,12,17,4,70.58823529411765
Salma Khatun,154,168,11,91.66666666666666
Sana Mir,135,176,9,76.70454545454545
Sania Khan,10,11,2,90.9090909090909
Sanjida Islam,58,108,11,53.70370370370371
Shafali Verma,541,429,18,126.10722610722611
Shaila Sharmin,6,9,2,66.66666666666666
Shamima Sultana,80,102,9,78.43137254901961
Sharmin Akhter,186,276,10,67.3913043478261
Shohely Akhter,3,6,2,50.0
Shorna Akter,144,150,10,96.0
Sidra Ameen,165,209,11,78.94736842105263
Sidra Nawaz,33,54,5,61.111111111111114
Soniya Dabir,27,27,3,100.0
Sultana Khatun,0,1,0,0.0
Syeda Aroob Shah,15,24,1,62.5
T Bhatia,49,68,6,72.05882352941177
T Brits,598,549,13,108.92531876138433
T Chetty,101,123,7,82.11382113821138
T Holder,1,2,0,50.0
TD Smartt,3,6,1,50.0
TJ Vlaeminck,0,2,1,0.0
TM McGrath,134,108,4,124.07407407407408
TS Sekhukhune,3,10,3,30.0
TT Beaumont,215,234,16,91.88034188034187
Taj Nehar,9,32,3,28.125
Tasmia Rubab,7,11,1,63.63636363636363
Tuba Hassan,67,72,5,93.05555555555556
U Thimashini,22,26,2,84.61538461538461
Umaima Sohail,84,110,10,76.36363636363637
V Krishnamurthy,158,148,8,106.75675675675676
VR Vanitha,40,34,3,117.64705882352942
W Liengprasert,11,26,3,42.30769230769231
WGAKK Kulasuriya,1,1,0,100.0
WK Dilhari,151,153,10,98.69281045751634
Y Fourie,4,7,1,57.14285714285714
Y van der Westhuizen,6,6,1,100.0
YH Bhatia,62,65,5,95.38461538461539
Z James,31,24,2,129.16666666666669
Z Mali,2,3,0,66.66666666666666
