bowler,runs_conceded,balls_bowled,wickets_taken,economy_rate
NND de Silva,64,70,5,5.485714285714286
NR Sciver,263,330,23,4.781818181818182
NR Sciver-Brunt,166,163,6,6.11042944785276
NSS Sharma,68,52,3,7.846153846153847
Nahida Akter,444,392,18,6.795918367346939
Nashra Sandhu,350,368,21,5.706521739130435
Nida Dar,551,527,25,6.273244781783681
O Bell,95,79,5,7.215189873417722
O Kamchomphu,21,18,0,7.0
O Prendergast,187,211,9,5.317535545023697
OU Ranasinghe,271,254,13,6.401574803149606
P Rawat,20,13,0,9.230769230769232
P Vastrakar,115,103,3,6.699029126213592
PA Chatterji,66,42,2,9.428571428571429
PRCS Kumarihami,71,68,3,6.264705882352941
Panna Ghosh,150,144,10,6.25
Poonam Yadav,382,419,31,5.470167064439141
Q Joseph,78,67,3,6.985074626865672
Qanita Jalil,59,73,2,4.8493150684931505
R Padunglerd,58,48,2,7.25
R Rijke,34,24,0,8.5
R Slater,185,154,8,7.207792207792208
RA Lewis,26,19,1,8.210526315789474
RA Mair,231,256,14,5.4140625
RL Grundy,126,162,6,4.666666666666667
RM Farrell,209,193,10,6.497409326424871
RP Yadav,344,328,23,6.2926829268292686
RS Gayakwad,274,259,7,6.347490347490348
Rabeya Khan,166,182,5,5.472527472527473
Rameen Shamim,93,60,3,9.3
Renuka Singh,236,260,17,5.4461538461538455
Ritu Moni,273,273,16,6.0
Rumana Ahmed,372,364,20,6.131868131868132
S Asha,65,72,5,5.416666666666667
S Ecclestone,455,600,43,4.55
S Gajnabi,10,6,0,10.0
S Glenn,259,290,16,5.358620689655172
S Hector,9,6,0,9.0
S Horley,13,12,3,6.5
S Ismail,513,573,36,5.371727748691099
S Laomi,78,73,1,6.41095890410959
S Lateh,53,54,2,5.888888888888889
S Loubser,54,54,0,6.0
S Luus,193,216,16,5.361111111111111
S Molineux,426,434,26,5.889400921658987
S Nisansala,48,50,1,5.76
S Pandey,224,223,15,6.026905829596413
S Rana,31,26,0,7.153846153846154
S Sandeepani,11,6,0,11.0
S Sharma,46,61,6,4.524590163934427
S Siegers,158,96,2,9.875
S Tippoch,66,42,0,9.428571428571429
SA Campbelle,6,8,0,4.5
SACA King,9,6,0,9.0
SC Selman,244,280,13,5.228571428571429
SF Daley,106,93,5,6.838709677419355
SFM Devine,386,375,24,6.176
SIP Fernando,69,77,1,5.376623376623376
SJ Coyte,66,90,9,4.4
SK Naidu,39,51,2,4.588235294117647
SL Quintyne,142,179,12,4.75977653631285
SR Patil,100,110,6,5.454545454545455
SR Taylor,280,313,26,5.36741214057508
SS Connell,270,302,11,5.364238410596026
SS Weerakkody,50,62,2,4.838709677419355
SW Bates,185,169,9,6.568047337278106
Sadaf Shamas,10,7,0,8.571428571428571
Sadia Iqbal,345,331,19,6.253776435045317
Sadia Yousuf,120,101,5,7.128712871287129
Salma Khatun,366,411,24,5.343065693430657
Sana Mir,318,318,11,6.0
Sania Khan,68,67,7,6.089552238805971
Sanjida Akter Meghla,115,91,5,7.582417582417583
Shafali Verma,121,118,5,6.1525423728813555
Shaila Sharmin,12,6,0,12.0
Shohely Akhter,12,12,0,6.0
Shorna Akter,86,69,2,7.478260869565218
Soniya Dabir,64,99,6,3.878787878787879
Sultana Khatun,15,12,0,7.5
Sumaiya Siddiqi,32,20,0,9.6
Syeda Aroob Shah,71,66,2,6.454545454545454
TD Smartt,88,98,7,5.387755102040817
TJ Vlaeminck,7,13,0,3.230769230769231
TM McGrath,54,53,3,6.113207547169811
TS Sekhukhune,48,46,2,6.260869565217391
Tasmia Rubab,80,49,2,9.795918367346939
Tuba Hassan,183,167,6,6.574850299401198
U Thimashini,7,4,0,10.5
Umaima Sohail,75,92,4,4.891304347826087
V Krishnamurthy,4,6,0,4.0
W Liengprasert,17,6,0,17.0
WGAKK Kulasuriya,108,95,3,6.821052631578947
WK Dilhari,311,284,8,6.570422535211267
Y Fourie,21,30,0,4.2
Z James,47,46,1,6.130434782608695
Z Mali,7,6,0,7.0
